Pass,Profit,Total trades,Profit factor,Expected Payoff,Drawdown $,Drawdown %
1563,652.9,976,1.82,0.67,448.12,30.61
2835,651.57,976,1.82,0.67,447.29,30.55
1857,651.11,1074,1.79,0.61,358.61,29.04
1825,651.09,1074,1.79,0.61,358.67,29.04
1974,650.56,1074,1.79,0.61,358.25,29.01
1957,650.3,1074,1.79,0.61,358.38,29.02
2912,650.22,1074,1.79,0.61,358.18,29.01
3025,650.13,1074,1.79,0.61,358.24,29.01
2936,648,1074,1.78,0.6,358.36,29.02
2011,647.68,967,1.73,0.67,447.6,30.07
194,647.6,967,1.74,0.67,447.76,30.12
2848,647.45,1074,1.78,0.6,358.25,29.02
2797,647.43,1074,1.78,0.6,358.03,29
2954,647.38,967,1.73,0.67,447.56,30.07
3031,647.27,978,1.74,0.66,447.51,30.25
2856,647.26,967,1.74,0.67,447.6,30.12
2207,647.08,967,1.73,0.67,447.37,30.06
2812,647.08,967,1.73,0.67,447.33,30.06
2528,646.9,967,1.73,0.67,447.4,30.06
2738,646.81,967,1.73,0.67,447.15,30.05
2517,646.74,967,1.74,0.67,447.27,30.1
2330,646.69,967,1.74,0.67,447.12,30.08
2882,646.49,964,1.73,0.67,447.48,30.13
2670,646.46,967,1.74,0.67,447,30.08
2654,646.42,967,1.73,0.67,446.99,30.04
3030,646.29,964,1.73,0.67,447.51,30.13
1462,646.22,963,1.73,0.67,448.13,30.2
1758,646.13,963,1.73,0.67,448.09,30.19
2768,646.11,964,1.73,0.67,447.32,30.12
2889,645.33,963,1.73,0.67,447.48,30.16
2226,645.33,963,1.73,0.67,447.29,30.14
2774,645.32,966,1.73,0.67,447.26,30.1
2978,645.3,963,1.73,0.67,447.63,30.16
2723,644.99,966,1.73,0.67,447.08,30.09
2234,644.76,963,1.73,0.67,447.29,30.12
2862,644.15,961,1.73,0.67,447.6,30.21
2710,643.99,963,1.73,0.67,447.01,30.11
2879,643.08,966,1.75,0.67,447.52,30.11
2649,643.05,961,1.73,0.67,446.99,30.16
2611,642.73,966,1.75,0.67,447.23,30.1
2467,642.59,966,1.75,0.67,447.34,30.1
2726,642.49,966,1.75,0.67,447.09,30.09
1650,642.1,1064,1.76,0.6,358.73,29.04
1460,642.01,1064,1.76,0.6,358.75,29.04
1759,642,1064,1.76,0.6,358.7,29.04
1736,641.92,1064,1.76,0.6,358.77,29.05
2841,641.91,962,1.73,0.67,447.32,30.21
1532,641.88,1064,1.76,0.6,358.8,29.05
1430,641.68,960,1.73,0.67,448.15,30.29
900,641.65,1064,1.76,0.6,358.63,29.04
2653,641.43,962,1.73,0.67,446.99,30.18
356,641.41,960,1.73,0.67,447.77,30.26
1942,641.31,1064,1.76,0.6,358.47,29.03
2870,641.23,960,1.73,0.67,447.56,30.25
2964,641.23,1064,1.76,0.6,358.3,29.02
2942,641.17,1064,1.76,0.6,358.3,29.02
2995,641.13,960,1.73,0.67,447.5,30.24
2903,641.04,1064,1.76,0.6,358.19,29.01
2979,641.03,1064,1.76,0.6,358.34,29.02
2174,640.96,1064,1.76,0.6,358.09,29
3033,640.92,1064,1.76,0.6,358.22,29.01
3010,640.9,1064,1.76,0.6,358.27,29.02
1966,640.8,960,1.73,0.67,447.37,30.25
3007,640.78,1064,1.76,0.6,358.27,29.02
2953,640.77,1064,1.76,0.6,358.33,29.02
2944,640.7,1064,1.76,0.6,358.29,29.02
3042,640.66,960,1.73,0.67,447.31,30.23
2749,640.61,1064,1.76,0.6,358.02,29
2769,640.59,1064,1.76,0.6,358.1,29
2147,640.41,1064,1.76,0.6,358.01,29
1824,640.37,1066,1.77,0.6,358.7,29.05
2104,640.36,1064,1.76,0.6,358.01,29
2392,640.34,1064,1.76,0.6,357.91,28.99
2783,640.27,1064,1.76,0.6,358.06,29
2628,640.15,1064,1.76,0.6,357.91,28.99
2678,640.09,1064,1.76,0.6,357.87,28.99
2530,639.55,1066,1.78,0.6,358.11,29.01
2183,639.48,1066,1.78,0.6,358.09,29
2476,639.36,1066,1.78,0.6,358.04,29
678,639.35,1067,1.77,0.6,358.56,29.04
2972,639.12,1067,1.77,0.6,358.34,29.02
2336,639.11,1066,1.77,0.6,357.93,28.99
2186,638.93,1067,1.77,0.6,358.13,29
2810,638.74,1067,1.77,0.6,358.05,29
2568,638.74,957,1.74,0.67,447.45,30.14
1673,638.73,1064,1.77,0.6,358.76,29.05
2514,638.72,1067,1.77,0.6,358.15,29.01
2537,638.61,1067,1.77,0.6,358.16,29.01
1634,638.57,1066,1.77,0.6,358.74,29.04
141,638.55,947,1.72,0.67,447.91,30.6
2800,638.5,1067,1.77,0.6,358.01,29
2760,638.5,957,1.74,0.67,447.27,30.13
2354,638.44,1067,1.77,0.6,357.99,29
2387,638.36,1067,1.77,0.6,358,29
1581,638.26,1065,1.77,0.6,358.7,29.04
1798,638.19,1066,1.77,0.6,358.59,29.03
1862,637.95,1066,1.77,0.6,358.65,29.04
2659,637.88,1067,1.77,0.6,357.79,28.99
1179,637.88,1065,1.77,0.6,358.43,29.02
2893,637.71,947,1.72,0.67,447.45,30.56
2877,637.67,1066,1.77,0.6,358.28,29.01
2570,637.64,1065,1.77,0.6,358.18,29.01
2057,637.58,1066,1.77,0.6,358.34,29.02
2947,637.58,1065,1.77,0.6,358.25,29.01
2850,637.46,1066,1.77,0.6,358.27,29.01
2120,637.45,1064,1.77,0.6,357.98,28.99
2078,637.43,1066,1.77,0.6,358.25,29.01
2851,637.38,1066,1.77,0.6,358.31,29.02
2594,637.38,1065,1.77,0.6,358.08,29
2968,637.38,1065,1.77,0.6,358.27,29.02
2189,637.33,1066,1.77,0.6,358.16,29.01
2038,637.3,1066,1.77,0.6,358.26,29.02
2025,637.27,1066,1.77,0.6,358.3,29.02
2583,637.25,1065,1.77,0.6,358.2,29.01
2579,637.22,1065,1.77,0.6,358.16,29.01
2827,637.22,1065,1.77,0.6,358.13,29
2811,637.21,1066,1.77,0.6,358.1,29
2473,637.18,1066,1.77,0.6,358.03,29
2290,637.16,1066,1.77,0.6,357.99,28.99
2449,637.14,1066,1.77,0.6,357.99,29
2380,637.12,1065,1.77,0.6,357.97,29
2400,637.11,1065,1.77,0.6,358.04,29
2847,637.1,1066,1.77,0.6,358.19,29.01
2506,637.09,1065,1.77,0.6,358.12,29.01
2834,637.08,1066,1.77,0.6,358.1,29
2496,637.08,1065,1.77,0.6,358.1,29
2283,637.07,1066,1.77,0.6,358.01,29
2477,637.07,1066,1.77,0.6,358.06,29
2277,636.98,1065,1.77,0.6,358.03,29
2685,636.95,1065,1.77,0.6,357.83,28.98
2412,636.92,1066,1.77,0.6,357.98,29
2623,636.87,1065,1.77,0.6,357.92,28.99
2595,636.86,1065,1.77,0.6,358.07,29.01
2696,636.84,1065,1.77,0.6,357.87,28.99
2150,636.69,1066,1.77,0.6,358.08,29
1539,636.68,1060,1.77,0.6,358.84,29.05
2634,636.68,1066,1.77,0.6,357.85,28.99
2633,636.62,1065,1.77,0.6,357.85,28.99
2125,636.52,1066,1.77,0.6,358,29
2618,636.52,1066,1.77,0.6,357.9,28.99
2945,636.42,952,1.74,0.67,447.55,30.21
2565,636.38,952,1.74,0.67,447.44,30.21
1578,636.34,1060,1.77,0.6,358.7,29.04
1827,636.22,1060,1.77,0.6,358.69,29.04
2826,636.1,952,1.74,0.67,447.37,30.21
1344,636.09,1060,1.77,0.6,358.67,29.04
2750,635.97,952,1.74,0.67,447.27,30.19
2111,635.83,952,1.74,0.67,447.12,30.19
2551,635.2,1060,1.77,0.6,358.11,29
2777,635.18,947,1.74,0.67,447.25,30.22
2505,635.15,947,1.74,0.67,447.36,30.23
2544,635.12,1060,1.77,0.6,358.11,29.01
2549,635.03,952,1.74,0.67,447.34,30.23
2282,635.02,1060,1.77,0.6,358.01,29
2393,634.98,947,1.74,0.67,447.09,30.21
2951,634.9,953,1.74,0.67,447.66,30.27
2266,634.86,952,1.74,0.67,447.26,30.23
2305,634.79,1060,1.77,0.6,357.94,28.99
2352,634.74,1060,1.77,0.6,357.99,29
2299,634.72,1060,1.77,0.6,357.92,28.99
2973,634.72,953,1.74,0.67,447.61,30.27
2910,634.69,953,1.74,0.67,447.42,30.25
2821,634.64,953,1.74,0.67,447.32,30.25
2511,634.51,953,1.74,0.67,447.41,30.25
2009,634.18,941,1.71,0.67,447.6,30.57
2675,634.1,953,1.74,0.67,447,30.23
2733,633.85,941,1.71,0.67,447.06,30.54
2737,633.82,941,1.71,0.67,447.15,30.54
2319,633.7,941,1.71,0.67,447.22,30.55
2744,631.68,961,1.81,0.66,447.16,30.55
2638,631.51,961,1.81,0.66,447.02,30.54
1923,631.5,1056,1.75,0.6,358.61,29.04
1714,631.49,1056,1.75,0.6,358.79,29.05
1512,631.49,1056,1.75,0.6,358.75,29.04
1375,631.42,1056,1.75,0.6,358.69,29.04
1476,631.42,1056,1.75,0.6,358.76,29.05
1931,631.41,1056,1.75,0.6,358.7,29.04
1604,631.39,1056,1.75,0.6,358.7,29.04
1801,631.31,1056,1.75,0.6,358.61,29.04
1797,631.27,1056,1.75,0.6,358.57,29.03
1612,631.25,1056,1.75,0.6,358.67,29.04
1812,631.17,1056,1.75,0.6,358.63,29.04
1780,631.14,957,1.71,0.66,447.98,30.26
742,631.14,1056,1.75,0.6,358.55,29.03
1794,631.1,1056,1.75,0.6,358.66,29.04
447,630.94,1056,1.75,0.6,358.45,29.03
820,630.88,1056,1.75,0.6,358.58,29.04
1805,630.85,1056,1.75,0.6,358.6,29.04
2510,630.8,1034,1.69,0.61,393.47,30.88
2008,630.77,1056,1.75,0.6,358.29,29.02
2060,630.77,1056,1.75,0.6,358.33,29.02
2860,630.76,1056,1.75,0.6,358.34,29.02
2959,630.69,1056,1.75,0.6,358.28,29.01
2950,630.68,1056,1.75,0.6,358.32,29.02
2991,630.67,1056,1.75,0.6,358.3,29.02
2555,630.63,1056,1.75,0.6,358.13,29
2539,630.63,1056,1.75,0.6,358.13,29
2563,630.59,1056,1.75,0.6,358.19,29.01
2864,630.59,1056,1.75,0.6,358.32,29.02
2044,630.57,1056,1.75,0.6,358.29,29.01
2898,630.57,1056,1.75,0.6,358.21,29.01
2059,630.55,1056,1.75,0.6,358.34,29.02
1964,630.47,1056,1.75,0.6,358.25,29.01
2906,630.46,1056,1.75,0.6,358.15,29
3003,630.46,1056,1.75,0.6,358.23,29.01
2983,630.45,1056,1.75,0.6,358.33,29.02
2969,630.43,1056,1.75,0.6,358.28,29.02
2311,630.4,1034,1.69,0.61,393.3,30.87
1989,630.38,1056,1.75,0.6,358.2,29.01
2199,630.38,1056,1.75,0.6,358.21,29.01
2216,630.37,1056,1.75,0.6,358.16,29.01
2550,630.34,1056,1.75,0.6,358.11,29
2164,630.34,1056,1.75,0.6,358.05,29
1747,630.34,937,1.71,0.67,448.15,30.6
2573,630.33,1056,1.75,0.6,358.17,29.01
2892,630.31,1056,1.75,0.6,358.21,29.01
1992,630.31,1056,1.75,0.6,358.25,29.02
2472,630.31,1056,1.75,0.6,358.05,29
2214,630.31,1056,1.75,0.6,358.16,29.01
2557,630.29,1056,1.75,0.6,358.16,29.01
2494,630.28,1056,1.75,0.6,358.1,29
2399,630.27,1056,1.75,0.6,358.02,29
2804,630.26,1056,1.75,0.6,358.02,29
2072,630.24,957,1.71,0.66,447.56,30.23
2552,630.24,1056,1.75,0.6,358.11,29.01
2908,630.24,1056,1.75,0.6,358.16,29.01
2518,630.23,1056,1.75,0.6,358.09,29
2764,630.22,1056,1.75,0.6,357.99,28.99
2531,630.2,1056,1.75,0.6,358.14,29.01
2206,630.19,1056,1.75,0.6,358.11,29.01
2151,630.19,1056,1.75,0.6,358.08,29
2462,630.19,1056,1.75,0.6,358.02,29
