File Name,Symbol,Period,Model,Parameters,Bars in test,Mismatched charts errors,Initial deposit,Total net profit,Profit factor,Absolute drawdown,Total trades,Ticks modelled,Modelling quality,Spread,Gross profit,Gross loss,Expected payoff,Maximal drawdown,Relative drawdown,Short positions (won %),Long positions (won %),Profit trades (% of total),Loss trades (% of total),profit trade,consecutive wins (profit in money),consecutive profit (count of wins),consecutive wins,loss trade,consecutive losses (loss in money),consecutive loss (count of losses),consecutive losses
PX3.71 AUDCHF M30 (10..5) (3) 2000 P7339 DD698 T784 220501-250615-Base.htm,AUDCHF (Australian Dollar vs Swiss Franc),30 Minutes (M30)  2024.01.02 00:00 - 2025.07.21 23:30    (2024.01.01 - 2025.07.22),Every tick (the most precise method based on all available least timeframes),"_______________________________________________bs=""****** Basic Setting ******""; Full_Speed=true; 
EnterMode=1; TradeMode=2; TradeType=0; Maximum_Spread=5; Magic=88888; Id_Comment=""PX3.71 AUDCHF M30""; _______________________________________________ma=""****** Entry System Main Setting ******""; RSI_Filter=true; 
RSI_Timeframe=5; RSI_Period=10; RSI_Price=0; RSI_Shift=2; RSI_High=70; RSI_Low=10; RSI_Return=5; STO_Filter=false; 
STO_Timeframe=30; STO_Kperiod1=15; STO_Dperiod1=3; STO_Slowing1=3; STO_Shift1=1; MA_STO_Method=0; STO_High=80; STO_Low=20; STO_Return=3; BB_Filter=false; 
BB_Timeframe=0; BB_Period=0; BB_Deviation=0; BB_Shift=0; _______________________________________________fs=""========= Filter Settings =========""; _______________________________________________dc=""****** Direction Control Setting ****** ""; Use_Tiger=true; 
Apply_Dir=0; TimeT=60; Basic_Line_Shift=0; _______________________________________________e3=""****** Exit General Setting ****** ""; Trailing=true; 
Trailing_Start1=20; Trailing_Distance1=5; Trailing_Start2=60; Trailing_Distance2=5; Trailing_Money=true; 
Trailing_Start_Money=100; Trailing_Distance_Money=30; _______________________________________________mmms=""========= Risk Control Settings =========""; DrawDown_Stop_New_Money=0; DrawDown_Stop_New_Perc_=10; DrawDown_SL_Money=780; Stop_Trading_SLDay=3; __L=""****** Lot Manage ******""; Lot_Type=1; Lot_Size=0.01; Risk_Equity=0; Lot_Multiplier=1.9; MaxLot=5; Custom_Lot=""""; Custom_Martingala=""""; __M=""****** Martingala Manage ******""; Use_Indicators_Martingala=false; 
SL_Number_Of_Order=10; Pause_Between=45; Martingala_Pips=20; OrderDynamic=4; Pips_Dynamic=10; Dynamic_Distance_Multiplier=1.6; __DD=""****** DD Reduction Algorithm ******""; Use_DD=true; 
OrdersDDStart=4; Hedging_Order1=3; Hedging_Order2=2; Hedging_Order3=0; Money_Profit=10; _______________________________________________ds=""****** Display Setting ****** ""; Show_Profits=true; 
Show_Breakeven_Points=true; 
SizeX_=230; SizeY_=170; FontSize=8; DangerMode=5; ColorDanger=LightPink; Show_Zone=false; 
Zone_Color=Gray; clr_BE_Buy=Green; clr_Buy_Profits=Lime; clr_Buy_Loss=Lime; clr_BE_Sell=Red; clr_Sell_Profits=Salmon; clr_Sell_Loss=Salmon;",19457,0,1000.0,2288.4,2.45,372.02,275,23333555,,20,3862.16,-1573.76,8.32,,,,,,,146.31,,,2,-71.33,,,1
PX3.71 AUDNZD M30 (7.4) (3) 2000 P3331 DD447 T629 220501-250620 SL530-Base.htm,AUDNZD (Australian Dollar vs New Zealand Dollar),30 Minutes (M30)  2024.01.02 00:00 - 2025.07.21 23:30    (2024.01.01 - 2025.07.22),Every tick (the most precise method based on all available least timeframes),"_______________________________________________bs=""****** Basic Setting ******""; Full_Speed=true; 
EnterMode=1; TradeMode=2; TradeType=0; Maximum_Spread=5; Magic=88888; Id_Comment=""PX3.71 AUDNZD M30""; _______________________________________________ma=""****** Entry System Main Setting ******""; RSI_Filter=true; 
RSI_Timeframe=30; RSI_Period=8; RSI_Price=0; RSI_Shift=2; RSI_High=70; RSI_Low=30; RSI_Return=5; STO_Filter=false; 
STO_Timeframe=30; STO_Kperiod1=15; STO_Dperiod1=3; STO_Slowing1=3; STO_Shift1=1; MA_STO_Method=0; STO_High=80; STO_Low=20; STO_Return=3; BB_Filter=false; 
BB_Timeframe=0; BB_Period=0; BB_Deviation=0; BB_Shift=0; _______________________________________________fs=""========= Filter Settings =========""; _______________________________________________dc=""****** Direction Control Setting ****** ""; Use_Tiger=true; 
Apply_Dir=0; TimeT=60; Basic_Line_Shift=0; _______________________________________________e3=""****** Exit General Setting ****** ""; Trailing=true; 
Trailing_Start1=60; Trailing_Distance1=5; Trailing_Start2=40; Trailing_Distance2=5; Trailing_Money=false; 
Trailing_Start_Money=20; Trailing_Distance_Money=10; _______________________________________________mmms=""========= Risk Control Settings =========""; DrawDown_Stop_New_Money=0; DrawDown_Stop_New_Perc_=10; DrawDown_SL_Money=530; Stop_Trading_SLDay=3; __L=""****** Lot Manage ******""; Lot_Type=1; Lot_Size=0.01; Risk_Equity=0; Lot_Multiplier=1.98; MaxLot=5; Custom_Lot=""""; Custom_Martingala=""""; __M=""****** Martingala Manage ******""; Use_Indicators_Martingala=true; 
SL_Number_Of_Order=10; Pause_Between=35; Martingala_Pips=25; OrderDynamic=5; Pips_Dynamic=20; Dynamic_Distance_Multiplier=1.8; __DD=""****** DD Reduction Algorithm ******""; Use_DD=true; 
OrdersDDStart=4; Hedging_Order1=3; Hedging_Order2=2; Hedging_Order3=0; Money_Profit=10; _______________________________________________ds=""****** Display Setting ****** ""; Show_Profits=true; 
Show_Breakeven_Points=true; 
SizeX_=230; SizeY_=170; FontSize=8; DangerMode=5; ColorDanger=LightPink; Show_Zone=false; 
Zone_Color=Gray; clr_BE_Buy=Green; clr_Buy_Profits=Lime; clr_Buy_Loss=Lime; clr_BE_Sell=Red; clr_Sell_Profits=Salmon; clr_Sell_Loss=Salmon;",19447,0,1000.0,1089.43,2.33,139.89,213,26617183,,20,1906.19,-816.76,5.11,,,,,,,80.59,,,2,-70.53,,,1
PX3.71 AUDUSD M30 (10.92) (3) 2000 P7652 DD887 T1058 220501-250615 SL900-Base.htm,AUDUSD (Australian Dollar vs US Dollar),30 Minutes (M30)  2024.01.02 00:00 - 2025.07.21 23:30    (2024.01.01 - 2025.07.22),Every tick (the most precise method based on all available least timeframes),"_______________________________________________bs=""****** Basic Setting ******""; Full_Speed=true; 
EnterMode=1; TradeMode=2; TradeType=0; Maximum_Spread=5; Magic=88888; Id_Comment=""PX3.71 AUDUSD M30""; _______________________________________________ma=""****** Entry System Main Setting ******""; RSI_Filter=true; 
RSI_Timeframe=30; RSI_Period=8; RSI_Price=0; RSI_Shift=0; RSI_High=75; RSI_Low=10; RSI_Return=5; STO_Filter=false; 
STO_Timeframe=30; STO_Kperiod1=15; STO_Dperiod1=3; STO_Slowing1=3; STO_Shift1=3; MA_STO_Method=0; STO_High=80; STO_Low=20; STO_Return=1; BB_Filter=false; 
BB_Timeframe=0; BB_Period=0; BB_Deviation=0; BB_Shift=0; _______________________________________________fs=""========= Filter Settings =========""; _______________________________________________dc=""****** Direction Control Setting ****** ""; Use_Tiger=true; 
Apply_Dir=0; TimeT=60; Basic_Line_Shift=0; _______________________________________________e3=""****** Exit General Setting ****** ""; Trailing=true; 
Trailing_Start1=70; Trailing_Distance1=5; Trailing_Start2=70; Trailing_Distance2=5; Trailing_Money=false; 
Trailing_Start_Money=100; Trailing_Distance_Money=40; _______________________________________________mmms=""========= Risk Control Settings =========""; DrawDown_Stop_New_Money=0; DrawDown_Stop_New_Perc_=10; DrawDown_SL_Money=900; Stop_Trading_SLDay=3; __L=""****** Lot Manage ******""; Lot_Type=1; Lot_Size=0.01; Risk_Equity=0; Lot_Multiplier=1.96; MaxLot=5; Custom_Lot=""""; Custom_Martingala=""""; __M=""****** Martingala Manage ******""; Use_Indicators_Martingala=false; 
SL_Number_Of_Order=10; Pause_Between=25; Martingala_Pips=15; OrderDynamic=4; Pips_Dynamic=10; Dynamic_Distance_Multiplier=1; __DD=""****** DD Reduction Algorithm ******""; Use_DD=true; 
OrdersDDStart=4; Hedging_Order1=3; Hedging_Order2=2; Hedging_Order3=0; Money_Profit=10; _______________________________________________ds=""****** Display Setting ****** ""; Show_Profits=true; 
Show_Breakeven_Points=true; 
SizeX_=230; SizeY_=170; FontSize=8; DangerMode=5; ColorDanger=LightPink; Show_Zone=false; 
Zone_Color=Gray; clr_BE_Buy=Green; clr_Buy_Profits=Lime; clr_Buy_Loss=Lime; clr_BE_Sell=Red; clr_Sell_Profits=Salmon; clr_Sell_Loss=Salmon;",19454,0,1000.0,2516.76,2.21,342.57,324,25583549,,20,4600.7,-2083.94,7.77,,,,,,,232.03,,,1,-92.2,,,1
PX3.71 CADCHF M30 (6.9) (3) 2000 P3721 DD506 T564 220501-250620 SL590-Base.htm,CADCHF (Canadian Dollar vs Swiss Franc),30 Minutes (M30)  2024.01.02 00:00 - 2025.07.21 23:30    (2024.01.01 - 2025.07.22),Every tick (the most precise method based on all available least timeframes),"_______________________________________________bs=""****** Basic Setting ******""; Full_Speed=true; 
EnterMode=1; TradeMode=2; TradeType=0; Maximum_Spread=5; Magic=88888; Id_Comment=""PX3.71 CADCHF M30""; _______________________________________________ma=""****** Entry System Main Setting ******""; RSI_Filter=true; 
RSI_Timeframe=30; RSI_Period=8; RSI_Price=0; RSI_Shift=2; RSI_High=70; RSI_Low=15; RSI_Return=5; STO_Filter=false; 
STO_Timeframe=30; STO_Kperiod1=15; STO_Dperiod1=3; STO_Slowing1=3; STO_Shift1=3; MA_STO_Method=0; STO_High=80; STO_Low=20; STO_Return=1; BB_Filter=false; 
BB_Timeframe=0; BB_Period=0; BB_Deviation=0; BB_Shift=0; _______________________________________________fs=""========= Filter Settings =========""; _______________________________________________dc=""****** Direction Control Setting ****** ""; Use_Tiger=true; 
Apply_Dir=0; TimeT=60; Basic_Line_Shift=0; _______________________________________________e3=""****** Exit General Setting ****** ""; Trailing=true; 
Trailing_Start1=50; Trailing_Distance1=5; Trailing_Start2=20; Trailing_Distance2=5; Trailing_Money=false; 
Trailing_Start_Money=20; Trailing_Distance_Money=10; _______________________________________________mmms=""========= Risk Control Settings =========""; DrawDown_Stop_New_Money=0; DrawDown_Stop_New_Perc_=10; DrawDown_SL_Money=590; Stop_Trading_SLDay=3; __L=""****** Lot Manage ******""; Lot_Type=1; Lot_Size=0.01; Risk_Equity=0; Lot_Multiplier=2.32; MaxLot=5; Custom_Lot=""""; Custom_Martingala=""""; __M=""****** Martingala Manage ******""; Use_Indicators_Martingala=false; 
SL_Number_Of_Order=10; Pause_Between=55; Martingala_Pips=15; OrderDynamic=6; Pips_Dynamic=50; Dynamic_Distance_Multiplier=1.3; __DD=""****** DD Reduction Algorithm ******""; Use_DD=true; 
OrdersDDStart=4; Hedging_Order1=3; Hedging_Order2=2; Hedging_Order3=0; Money_Profit=10; _______________________________________________ds=""****** Display Setting ****** ""; Show_Profits=true; 
Show_Breakeven_Points=true; 
SizeX_=230; SizeY_=170; FontSize=8; DangerMode=5; ColorDanger=LightPink; Show_Zone=false; 
Zone_Color=Gray; clr_BE_Buy=Green; clr_Buy_Profits=Lime; clr_Buy_Loss=Lime; clr_BE_Sell=Red; clr_Sell_Profits=Salmon; clr_Sell_Loss=Salmon;",19451,0,1000.0,1934.7,2.55,42.44,297,24270016,,20,3180.86,-1246.16,6.51,,,,,,,107.17,,,2,-74.63,,,1
PX3.71 EURGBP M30 (10.63) (3) 2000 P6242 DD545 T344 220501-250620 SL650-Base.htm,EURGBP (Euro vs Great Britain Pound ),30 Minutes (M30)  2024.01.02 00:00 - 2025.07.21 23:30    (2024.01.01 - 2025.07.22),Every tick (the most precise method based on all available least timeframes),"_______________________________________________bs=""****** Basic Setting ******""; Full_Speed=true; 
EnterMode=1; TradeMode=2; TradeType=0; Maximum_Spread=5; Magic=88888; Id_Comment=""PX3.71 EURGBP M30""; _______________________________________________ma=""****** Entry System Main Setting ******""; RSI_Filter=true; 
RSI_Timeframe=30; RSI_Period=8; RSI_Price=0; RSI_Shift=1; RSI_High=70; RSI_Low=20; RSI_Return=4; STO_Filter=false; 
STO_Timeframe=30; STO_Kperiod1=15; STO_Dperiod1=3; STO_Slowing1=3; STO_Shift1=1; MA_STO_Method=0; STO_High=80; STO_Low=20; STO_Return=3; BB_Filter=false; 
BB_Timeframe=0; BB_Period=0; BB_Deviation=0; BB_Shift=0; _______________________________________________fs=""========= Filter Settings =========""; _______________________________________________dc=""****** Direction Control Setting ****** ""; Use_Tiger=true; 
Apply_Dir=0; TimeT=60; Basic_Line_Shift=0; _______________________________________________e3=""****** Exit General Setting ****** ""; Trailing=true; 
Trailing_Start1=20; Trailing_Distance1=5; Trailing_Start2=60; Trailing_Distance2=5; Trailing_Money=false; 
Trailing_Start_Money=100; Trailing_Distance_Money=20; _______________________________________________mmms=""========= Risk Control Settings =========""; DrawDown_Stop_New_Money=0; DrawDown_Stop_New_Perc_=10; DrawDown_SL_Money=650; Stop_Trading_SLDay=3; __L=""****** Lot Manage ******""; Lot_Type=1; Lot_Size=0.01; Risk_Equity=0; Lot_Multiplier=2.16; MaxLot=5; Custom_Lot=""""; Custom_Martingala=""""; __M=""****** Martingala Manage ******""; Use_Indicators_Martingala=false; 
SL_Number_Of_Order=10; Pause_Between=5; Martingala_Pips=40; OrderDynamic=5; Pips_Dynamic=60; Dynamic_Distance_Multiplier=1.8; __DD=""****** DD Reduction Algorithm ******""; Use_DD=true; 
OrdersDDStart=4; Hedging_Order1=3; Hedging_Order2=2; Hedging_Order3=1; Money_Profit=10; _______________________________________________ds=""****** Display Setting ****** ""; Show_Profits=true; 
Show_Breakeven_Points=true; 
SizeX_=230; SizeY_=170; FontSize=8; DangerMode=5; ColorDanger=LightPink; Show_Zone=false; 
Zone_Color=Gray; clr_BE_Buy=Green; clr_Buy_Profits=Lime; clr_Buy_Loss=Lime; clr_BE_Sell=Red; clr_Sell_Profits=Salmon; clr_Sell_Loss=Salmon;",19457,0,1000.0,2020.12,3.4,220.2,121,27556920,,20,2861.02,-840.9,16.7,,,,,,,574.45,,,5,-100.09,,,2
PX3.71 GBPNZD M30 (10.78) (3) 2000 P9209 DD996 T1106 220101-250620 SL1010-Base.htm,GBPNZD (Great Britain Pound vs New Zealand Dollar),30 Minutes (M30)  2024.01.02 00:00 - 2025.07.21 23:30    (2024.01.01 - 2025.07.22),Every tick (the most precise method based on all available least timeframes),"_______________________________________________bs=""****** Basic Setting ******""; Full_Speed=true; 
EnterMode=1; TradeMode=2; TradeType=0; Maximum_Spread=5; Magic=88888; Id_Comment=""PX3.71 GBPNZD M30""; _______________________________________________ma=""****** Entry System Main Setting ******""; RSI_Filter=true; 
RSI_Timeframe=30; RSI_Period=8; RSI_Price=0; RSI_Shift=2; RSI_High=80; RSI_Low=30; RSI_Return=4; STO_Filter=false; 
STO_Timeframe=30; STO_Kperiod1=15; STO_Dperiod1=3; STO_Slowing1=3; STO_Shift1=2; MA_STO_Method=0; STO_High=80; STO_Low=20; STO_Return=1; BB_Filter=false; 
BB_Timeframe=0; BB_Period=0; BB_Deviation=0; BB_Shift=0; _______________________________________________fs=""========= Filter Settings =========""; _______________________________________________dc=""****** Direction Control Setting ****** ""; Use_Tiger=true; 
Apply_Dir=0; TimeT=60; Basic_Line_Shift=0; _______________________________________________e3=""****** Exit General Setting ****** ""; Trailing=true; 
Trailing_Start1=80; Trailing_Distance1=5; Trailing_Start2=80; Trailing_Distance2=5; Trailing_Money=false; 
Trailing_Start_Money=40; Trailing_Distance_Money=10; _______________________________________________mmms=""========= Risk Control Settings =========""; DrawDown_Stop_New_Money=0; DrawDown_Stop_New_Perc_=10; DrawDown_SL_Money=1010; Stop_Trading_SLDay=3; __L=""****** Lot Manage ******""; Lot_Type=1; Lot_Size=0.01; Risk_Equity=0; Lot_Multiplier=2.4; MaxLot=5; Custom_Lot=""""; Custom_Martingala=""""; __M=""****** Martingala Manage ******""; Use_Indicators_Martingala=false; 
SL_Number_Of_Order=10; Pause_Between=45; Martingala_Pips=40; OrderDynamic=7; Pips_Dynamic=50; Dynamic_Distance_Multiplier=1.8; __DD=""****** DD Reduction Algorithm ******""; Use_DD=true; 
OrdersDDStart=4; Hedging_Order1=3; Hedging_Order2=2; Hedging_Order3=0; Money_Profit=10; _______________________________________________ds=""****** Display Setting ****** ""; Show_Profits=true; 
Show_Breakeven_Points=true; 
SizeX_=230; SizeY_=170; FontSize=8; DangerMode=5; ColorDanger=LightPink; Show_Zone=false; 
Zone_Color=Gray; clr_BE_Buy=Green; clr_Buy_Profits=Lime; clr_Buy_Loss=Lime; clr_BE_Sell=Red; clr_Sell_Profits=Salmon; clr_Sell_Loss=Salmon;",19386,0,1000.0,4450.51,2.24,264.95,449,41881597,,20,8040.8,-3590.29,9.91,,,,,,,426.67,,,2,-118.74,,,1
PX3.71 GBPUSD M30 (8.59) (3) 2000 P5652 DD615 T578 220501-250615-Base.htm,GBPUSD (Great Britain Pound vs US Dollar),30 Minutes (M30)  2024.01.02 00:00 - 2025.07.21 23:30    (2024.01.01 - 2025.07.22),Every tick (the most precise method based on all available least timeframes),"_______________________________________________bs=""****** Basic Setting ******""; Full_Speed=true; 
EnterMode=1; TradeMode=2; TradeType=0; Maximum_Spread=5; Magic=88888; Id_Comment=""PX3.71 GBPUSD M30""; _______________________________________________ma=""****** Entry System Main Setting ******""; RSI_Filter=true; 
RSI_Timeframe=30; RSI_Period=12; RSI_Price=0; RSI_Shift=0; RSI_High=80; RSI_Low=30; RSI_Return=2; STO_Filter=false; 
STO_Timeframe=30; STO_Kperiod1=15; STO_Dperiod1=3; STO_Slowing1=3; STO_Shift1=2; MA_STO_Method=0; STO_High=80; STO_Low=20; STO_Return=1; BB_Filter=false; 
BB_Timeframe=0; BB_Period=0; BB_Deviation=0; BB_Shift=0; _______________________________________________fs=""========= Filter Settings =========""; _______________________________________________dc=""****** Direction Control Setting ****** ""; Use_Tiger=true; 
Apply_Dir=0; TimeT=60; Basic_Line_Shift=0; _______________________________________________e3=""****** Exit General Setting ****** ""; Trailing=true; 
Trailing_Start1=40; Trailing_Distance1=5; Trailing_Start2=70; Trailing_Distance2=5; Trailing_Money=true; 
Trailing_Start_Money=60; Trailing_Distance_Money=20; _______________________________________________mmms=""========= Risk Control Settings =========""; DrawDown_Stop_New_Money=0; DrawDown_Stop_New_Perc_=10; DrawDown_SL_Money=710; Stop_Trading_SLDay=3; __L=""****** Lot Manage ******""; Lot_Type=1; Lot_Size=0.01; Risk_Equity=0; Lot_Multiplier=2.78; MaxLot=5; Custom_Lot=""""; Custom_Martingala=""""; __M=""****** Martingala Manage ******""; Use_Indicators_Martingala=false; 
SL_Number_Of_Order=10; Pause_Between=15; Martingala_Pips=15; OrderDynamic=4; Pips_Dynamic=30; Dynamic_Distance_Multiplier=2; __DD=""****** DD Reduction Algorithm ******""; Use_DD=true; 
OrdersDDStart=4; Hedging_Order1=3; Hedging_Order2=2; Hedging_Order3=0; Money_Profit=10; _______________________________________________ds=""****** Display Setting ****** ""; Show_Profits=true; 
Show_Breakeven_Points=true; 
SizeX_=230; SizeY_=170; FontSize=8; DangerMode=5; ColorDanger=LightPink; Show_Zone=false; 
Zone_Color=Gray; clr_BE_Buy=Green; clr_Buy_Profits=Lime; clr_Buy_Loss=Lime; clr_BE_Sell=Red; clr_Sell_Profits=Salmon; clr_Sell_Loss=Salmon;",19456,0,1000.0,2445.73,2.17,389.71,262,37410844,,20,4536.04,-2090.31,9.33,,,,,,,155.4,,,2,-145.0,,,1
PX3.71 NZDCHF M30 (11.3) (3) 2000 P6298 DD538 T611 220101-250620 SL650-Base.htm,NZDCHF (New Zealand Dollar vs Swiss Franc),30 Minutes (M30)  2024.01.02 00:00 - 2025.07.21 23:30    (2024.01.01 - 2025.07.22),Every tick (the most precise method based on all available least timeframes),"_______________________________________________bs=""****** Basic Setting ******""; Full_Speed=true; 
EnterMode=1; TradeMode=2; TradeType=0; Maximum_Spread=5; Magic=88888; Id_Comment=""PX3.71 NZDCHF M30""; _______________________________________________ma=""****** Entry System Main Setting ******""; RSI_Filter=true; 
RSI_Timeframe=30; RSI_Period=8; RSI_Price=0; RSI_Shift=1; RSI_High=70; RSI_Low=10; RSI_Return=1; STO_Filter=false; 
STO_Timeframe=30; STO_Kperiod1=15; STO_Dperiod1=3; STO_Slowing1=3; STO_Shift1=3; MA_STO_Method=0; STO_High=80; STO_Low=20; STO_Return=3; BB_Filter=false; 
BB_Timeframe=0; BB_Period=0; BB_Deviation=0; BB_Shift=0; _______________________________________________fs=""========= Filter Settings =========""; _______________________________________________dc=""****** Direction Control Setting ****** ""; Use_Tiger=true; 
Apply_Dir=0; TimeT=60; Basic_Line_Shift=0; _______________________________________________e3=""****** Exit General Setting ****** ""; Trailing=true; 
Trailing_Start1=20; Trailing_Distance1=5; Trailing_Start2=60; Trailing_Distance2=5; Trailing_Money=false; 
Trailing_Start_Money=20; Trailing_Distance_Money=10; _______________________________________________mmms=""========= Risk Control Settings =========""; DrawDown_Stop_New_Money=0; DrawDown_Stop_New_Perc_=10; DrawDown_SL_Money=650; Stop_Trading_SLDay=3; __L=""****** Lot Manage ******""; Lot_Type=1; Lot_Size=0.01; Risk_Equity=0; Lot_Multiplier=1.94; MaxLot=5; Custom_Lot=""""; Custom_Martingala=""""; __M=""****** Martingala Manage ******""; Use_Indicators_Martingala=false; 
SL_Number_Of_Order=10; Pause_Between=5; Martingala_Pips=15; OrderDynamic=6; Pips_Dynamic=10; Dynamic_Distance_Multiplier=1; __DD=""****** DD Reduction Algorithm ******""; Use_DD=true; 
OrdersDDStart=4; Hedging_Order1=3; Hedging_Order2=2; Hedging_Order3=0; Money_Profit=10; _______________________________________________ds=""****** Display Setting ****** ""; Show_Profits=true; 
Show_Breakeven_Points=true; 
SizeX_=230; SizeY_=170; FontSize=8; DangerMode=5; ColorDanger=LightPink; Show_Zone=false; 
Zone_Color=Gray; clr_BE_Buy=Green; clr_Buy_Profits=Lime; clr_Buy_Loss=Lime; clr_BE_Sell=Red; clr_Sell_Profits=Salmon; clr_Sell_Loss=Salmon;",19451,0,1000.0,1994.25,4.98,184.01,188,23387987,,20,2495.65,-501.4,10.61,,,,,,,126.48,,,2,-58.05,,,1
PX3.71 NZDUSD M30 (7.48) (3) 2000 P3896 DD518 T416 220501-250620 SL620-Base.htm,NZDUSD (New Zealand Dollar vs US Dollar),30 Minutes (M30)  2024.01.02 00:00 - 2025.07.21 23:30    (2024.01.01 - 2025.07.22),Every tick (the most precise method based on all available least timeframes),"_______________________________________________bs=""****** Basic Setting ******""; Full_Speed=true; 
EnterMode=1; TradeMode=2; TradeType=0; Maximum_Spread=5; Magic=88888; Id_Comment=""PX3.71 NZDUSD M30""; _______________________________________________ma=""****** Entry System Main Setting ******""; RSI_Filter=true; 
RSI_Timeframe=5; RSI_Period=12; RSI_Price=0; RSI_Shift=2; RSI_High=70; RSI_Low=10; RSI_Return=1; STO_Filter=false; 
STO_Timeframe=30; STO_Kperiod1=15; STO_Dperiod1=3; STO_Slowing1=3; STO_Shift1=3; MA_STO_Method=0; STO_High=80; STO_Low=20; STO_Return=3; BB_Filter=false; 
BB_Timeframe=0; BB_Period=0; BB_Deviation=0; BB_Shift=0; _______________________________________________fs=""========= Filter Settings =========""; _______________________________________________dc=""****** Direction Control Setting ****** ""; Use_Tiger=true; 
Apply_Dir=0; TimeT=60; Basic_Line_Shift=0; _______________________________________________e3=""****** Exit General Setting ****** ""; Trailing=true; 
Trailing_Start1=60; Trailing_Distance1=5; Trailing_Start2=60; Trailing_Distance2=5; Trailing_Money=true; 
Trailing_Start_Money=100; Trailing_Distance_Money=50; _______________________________________________mmms=""========= Risk Control Settings =========""; DrawDown_Stop_New_Money=0; DrawDown_Stop_New_Perc_=10; DrawDown_SL_Money=620; Stop_Trading_SLDay=3; __L=""****** Lot Manage ******""; Lot_Type=1; Lot_Size=0.01; Risk_Equity=0; Lot_Multiplier=2.28; MaxLot=5; Custom_Lot=""""; Custom_Martingala=""""; __M=""****** Martingala Manage ******""; Use_Indicators_Martingala=false; 
SL_Number_Of_Order=10; Pause_Between=25; Martingala_Pips=35; OrderDynamic=8; Pips_Dynamic=50; Dynamic_Distance_Multiplier=1.3; __DD=""****** DD Reduction Algorithm ******""; Use_DD=true; 
OrdersDDStart=4; Hedging_Order1=3; Hedging_Order2=2; Hedging_Order3=0; Money_Profit=10; _______________________________________________ds=""****** Display Setting ****** ""; Show_Profits=true; 
Show_Breakeven_Points=true; 
SizeX_=230; SizeY_=170; FontSize=8; DangerMode=5; ColorDanger=LightPink; Show_Zone=false; 
Zone_Color=Gray; clr_BE_Buy=Green; clr_Buy_Profits=Lime; clr_Buy_Loss=Lime; clr_BE_Sell=Red; clr_Sell_Profits=Salmon; clr_Sell_Loss=Salmon;",19456,0,1000.0,1430.61,2.46,49.98,164,22796615,,20,2409.19,-978.58,8.72,,,,,,,119.37,,,2,-68.92,,,1
PX3.71 USDCAD M30 (8.22) (3) 2000 P5407 DD916 T918 220101-250620 SL850-Base.htm,USDCAD (US Dollar vs Canadian Dollar),30 Minutes (M30)  2024.01.02 00:00 - 2025.07.21 23:30    (2024.01.01 - 2025.07.22),Every tick (the most precise method based on all available least timeframes),"_______________________________________________bs=""****** Basic Setting ******""; Full_Speed=true; 
EnterMode=1; TradeMode=2; TradeType=0; Maximum_Spread=5; Magic=88888; Id_Comment=""PX3.71 USDCAD M30""; _______________________________________________ma=""****** Entry System Main Setting ******""; RSI_Filter=true; 
RSI_Timeframe=30; RSI_Period=10; RSI_Price=0; RSI_Shift=2; RSI_High=80; RSI_Low=25; RSI_Return=5; STO_Filter=false; 
STO_Timeframe=30; STO_Kperiod1=15; STO_Dperiod1=3; STO_Slowing1=3; STO_Shift1=2; MA_STO_Method=0; STO_High=80; STO_Low=20; STO_Return=2; BB_Filter=false; 
BB_Timeframe=0; BB_Period=0; BB_Deviation=0; BB_Shift=0; _______________________________________________fs=""========= Filter Settings =========""; _______________________________________________dc=""****** Direction Control Setting ****** ""; Use_Tiger=true; 
Apply_Dir=0; TimeT=60; Basic_Line_Shift=0; _______________________________________________e3=""****** Exit General Setting ****** ""; Trailing=false; 
Trailing_Start1=40; Trailing_Distance1=5; Trailing_Start2=80; Trailing_Distance2=5; Trailing_Money=true; 
Trailing_Start_Money=40; Trailing_Distance_Money=10; _______________________________________________mmms=""========= Risk Control Settings =========""; DrawDown_Stop_New_Money=0; DrawDown_Stop_New_Perc_=10; DrawDown_SL_Money=850; Stop_Trading_SLDay=3; __L=""****** Lot Manage ******""; Lot_Type=1; Lot_Size=0.01; Risk_Equity=0; Lot_Multiplier=1.68; MaxLot=5; Custom_Lot=""""; Custom_Martingala=""""; __M=""****** Martingala Manage ******""; Use_Indicators_Martingala=false; 
SL_Number_Of_Order=10; Pause_Between=5; Martingala_Pips=15; OrderDynamic=6; Pips_Dynamic=20; Dynamic_Distance_Multiplier=1.8; __DD=""****** DD Reduction Algorithm ******""; Use_DD=true; 
OrdersDDStart=4; Hedging_Order1=3; Hedging_Order2=2; Hedging_Order3=0; Money_Profit=10; _______________________________________________ds=""****** Display Setting ****** ""; Show_Profits=true; 
Show_Breakeven_Points=true; 
SizeX_=230; SizeY_=170; FontSize=8; DangerMode=5; ColorDanger=LightPink; Show_Zone=false; 
Zone_Color=Gray; clr_BE_Buy=Green; clr_Buy_Profits=Lime; clr_Buy_Loss=Lime; clr_BE_Sell=Red; clr_Sell_Profits=Salmon; clr_Sell_Loss=Salmon;",19455,0,1000.0,1556.16,1.68,272.56,352,29623971,,20,3845.65,-2289.5,4.42,,,,,,,145.91,,,3,-204.8,,,1
